"x" "y" "z"
"1" 15 305 870
"2" 70 310 793
"3" 120 305 755
"4" 180 310 690
"5" 285 310 800
"6" 80 260 800
"7" 145 255 730
"8" 170 265 728
"9" 170 285 710
"10" 240 280 780
"11" 265 250 804
"12" 310 260 855
"13" 10 215 830
"14" 45 210 813
"15" 115 240 762
"16" 125 225 765
"17" 150 225 740
"18" 175 225 765
"19" 205 230 760
"20" 245 210 790
"21" 315 215 820
"22" 45 160 855
"23" 85 190 812
"24" 120 190 773
"25" 185 175 812
"26" 225 160 827
"27" 260 160 805
"28" 315 170 840
"29" 15 120 890
"30" 100 135 820
"31" 190 115 873
"32" 315 110 875
"33" 30 85 873
"34" 75 90 865
"35" 105 90 841
"36" 105 55 862
"37" 155 55 908
"38" 225 90 855
"39" 275 85 850
"40" 285 50 882
"41" 310 50 910
"42" 20 25 940
"43" 70 30 915
"44" 70 5 890
"45" 105 35 880
"46" 115 15 870
"47" 155 0 880
"48" 205 40 960
"49" 270 20 890
"50" 300 5 860
"51" 285 150 830
"52" 180 300 705
