"x" "y" "N_obs"
5 5 0
15 5 0
25 5 0
35 5 0
45 5 0
55 5 0
65 5 0
75 5 0
85 5 0
95 5 0
105 5 0
115 5 0
125 5 0
135 5 0
145 5 1
155 5 0
165 5 0
175 5 0
185 5 0
195 5 0
205 5 0
215 5 0
225 5 0
235 5 0
245 5 0
255 5 0
265 5 0
275 5 0
285 5 0
295 5 1
5 15 0
15 15 0
25 15 0
35 15 0
45 15 0
55 15 0
65 15 0
75 15 0
85 15 0
95 15 0
105 15 0
115 15 0
125 15 0
135 15 0
145 15 0
155 15 1
165 15 0
175 15 0
185 15 0
195 15 0
205 15 0
215 15 1
225 15 0
235 15 0
245 15 0
255 15 0
265 15 0
275 15 0
285 15 0
295 15 0
5 25 0
15 25 0
25 25 0
35 25 0
45 25 0
55 25 0
65 25 0
75 25 0
85 25 0
95 25 0
105 25 0
115 25 1
125 25 0
135 25 0
145 25 0
155 25 0
165 25 0
175 25 0
185 25 0
195 25 0
205 25 0
215 25 0
225 25 1
235 25 0
245 25 0
255 25 0
265 25 0
275 25 1
285 25 0
295 25 0
5 35 0
15 35 0
25 35 0
35 35 0
45 35 0
55 35 0
65 35 0
75 35 0
85 35 1
95 35 0
105 35 0
115 35 0
125 35 1
135 35 0
145 35 0
155 35 0
165 35 0
175 35 0
185 35 0
195 35 0
205 35 0
215 35 1
225 35 0
235 35 0
245 35 1
255 35 0
265 35 0
275 35 0
285 35 1
295 35 0
5 45 0
15 45 1
25 45 0
35 45 0
45 45 0
55 45 0
65 45 0
75 45 0
85 45 2
95 45 0
105 45 0
115 45 0
125 45 0
135 45 0
145 45 0
155 45 0
165 45 0
175 45 1
185 45 0
195 45 0
205 45 0
215 45 0
225 45 0
235 45 0
245 45 0
255 45 0
265 45 0
275 45 0
285 45 0
295 45 0
5 55 0
15 55 0
25 55 0
35 55 0
45 55 0
55 55 1
65 55 0
75 55 0
85 55 0
95 55 0
105 55 0
115 55 0
125 55 0
135 55 0
145 55 0
155 55 0
165 55 0
175 55 0
185 55 0
195 55 1
205 55 0
215 55 0
225 55 0
235 55 1
