"x" "y" "alpha"
5 5 0.04
15 5 0.06
25 5 0.06
35 5 0.05
45 5 0.06
55 5 0.07
65 5 0.06
75 5 0.07
85 5 0.06
95 5 0.06
105 5 0.07
115 5 0.07
125 5 0.07
135 5 0.09
145 5 0.09
155 5 0.08
165 5 0.08
175 5 0.07
185 5 0.08
195 5 0.09
205 5 0.07
215 5 0.1
225 5 0.11
235 5 0.09
245 5 0.11
255 5 0.11
265 5 0.1
275 5 0.11
285 5 0.11
295 5 0.11
5 15 0.05
15 15 0.05
25 15 0.07
35 15 0.07
45 15 0.07
55 15 0.05
65 15 0.07
75 15 0.07
85 15 0.08
95 15 0.07
105 15 0.08
115 15 0.09
125 15 0.08
135 15 0.1
145 15 0.1
155 15 0.09
165 15 0.09
175 15 0.09
185 15 0.12
195 15 0.1
205 15 0.09
215 15 0.1
225 15 0.11
235 15 0.11
245 15 0.11
255 15 0.12
265 15 0.11
275 15 0.12
285 15 0.11
295 15 0.11
5 25 0.06
15 25 0.07
25 25 0.08
35 25 0.07
45 25 0.07
55 25 0.08
65 25 0.06
75 25 0.08
85 25 0.08
95 25 0.09
105 25 0.07
115 25 0.08
125 25 0.09
135 25 0.1
145 25 0.09
155 25 0.1
165 25 0.11
175 25 0.09
185 25 0.1
195 25 0.11
205 25 0.09
215 25 0.11
225 25 0.12
235 25 0.11
245 25 0.14
255 25 0.14
265 25 0.14
275 25 0.15
285 25 0.11
295 25 0.16
5 35 0.07
15 35 0.08
25 35 0.07
35 35 0.07
45 35 0.08
55 35 0.08
65 35 0.09
75 35 0.09
85 35 0.09
95 35 0.09
105 35 0.09
115 35 0.11
125 35 0.11
135 35 0.09
145 35 0.11
155 35 0.1
165 35 0.11
175 35 0.1
185 35 0.11
195 35 0.14
205 35 0.12
215 35 0.13
225 35 0.13
235 35 0.13
245 35 0.14
255 35 0.12
265 35 0.15
275 35 0.15
285 35 0.13
295 35 0.14
5 45 0.09
15 45 0.07
25 45 0.09
35 45 0.08
45 45 0.09
55 45 0.09
65 45 0.08
75 45 0.07
85 45 0.09
95 45 0.1
105 45 0.1
115 45 0.09
125 45 0.1
135 45 0.11
145 45 0.11
155 45 0.12
165 45 0.11
175 45 0.11
185 45 0.12
195 45 0.12
205 45 0.15
215 45 0.14
225 45 0.15
235 45 0.13
245 45 0.14
255 45 0.14
265 45 0.15
275 45 0.14
285 45 0.14
295 45 0.18
5 55 0.08
15 55 0.09
25 55 0.08
35 55 0.08
45 55 0.08
55 55 0.1
65 55 0.09
75 55 0.1
85 55 0.1
95 55 0.1
105 55 0.11
115 55 0.12
125 55 0.1
135 55 0.12
145 55 0.11
155 55 0.12
165 55 0.1
175 55 0.1
185 55 0.14
195 55 0.13
205 55 0.16
215 55 0.15
225 55 0.15
235 55 0.16
245 55 0.18
255 55 0.15
265 55 0.15
275 55 0.19
285 55 0.17
295 55 0.17
5 65 0.09
15 65 0.1
25 65 0.08
35 65 0.08
45 65 0.1
55 65 0.09
65 65 0.11
75 65 0.11
85 65 0.1
95 65 0.1
105 65 0.13
115 65 0.13
125 65 0.13
135 65 0.12
145 65 0.13
155 65 0.12
165 65 0.11
175 65 0.14
185 65 0.14
195 65 0.14
205 65 0.13
215 65 0.16
225 65 0.16
235 65 0.14
245 65 0.19
255 65 0.16
265 65 0.19
275 65 0.17
285 65 0.19
295 65 0.19
5 75 0.09
15 75 0.11
25 75 0.11
35 75 0.11
45 75 0.11
55 75 0.11
65 75 0.11
75 75 0.12
85 75 0.11
95 75 0.12
105 75 0.13
115 75 0.15
125 75 0.14
135 75 0.12
145 75 0.14
155 75 0.16
165 75 0.13
175 75 0.14
185 75 0.16
195 75 0.14
205 75 0.16
215 75 0.16
225 75 0.16
235 75 0.16
245 75 0.18
255 75 0.19
265 75 0.19
275 75 0.2
285 75 0.19
295 75 0.26
5 85 0.1
15 85 0.11
25 85 0.1
35 85 0.1
45 85 0.12
55 85 0.12
65 85 0.13
75 85 0.12
85 85 0.12
95 85 0.13
105 85 0.14
115 85 0.15
125 85 0.15
135 85 0.12
145 85 0.16
155 85 0.13
165 85 0.15
175 85 0.16
185 85 0.14
195 85 0.17
205 85 0.17
215 85 0.17
225 85 0.18
235 85 0.2
245 85 0.2
255 85 0.19
265 85 0.21
275 85 0.19
285 85 0.23
295 85 0.22
5 95 0.1
15 95 0.12
25 95 0.12
35 95 0.12
45 95 0.13
55 95 0.12
65 95 0.13
75 95 0.14
85 95 0.14
95 95 0.12
105 95 0.14
115 95 0.15
125 95 0.16
135 95 0.13
145 95 0.14
155 95 0.16
165 95 0.18
175 95 0.19
185 95 0.17
195 95 0.19
205 95 0.15
215 95 0.19
225 95 0.22
235 95 0.16
245 95 0.21
255 95 0.24
265 95 0.18
275 95 0.22
285 95 0.26
295 95 0.22
5 105 0.13
15 105 0.12
25 105 0.15
35 105 0.12
45 105 0.14
55 105 0.14
65 105 0.16
75 105 0.14
85 105 0.16
95 105 0.15
105 105 0.16
115 105 0.15
125 105 0.18
135 105 0.17
145 105 0.17
155 105 0.16
165 105 0.18
175 105 0.16
185 105 0.21
195 105 0.16
205 105 0.18
215 105 0.23
225 105 0.21
235 105 0.22
245 105 0.22
255 105 0.23
265 105 0.26
275 105 0.21
285 105 0.27
295 105 0.24
5 115 0.11
15 115 0.15
25 115 0.13
35 115 0.15
45 115 0.14
55 115 0.17
65 115 0.13
75 115 0.14
85 115 0.17
95 115 0.16
105 115 0.16
115 115 0.16
125 115 0.2
135 115 0.18
145 115 0.2
155 115 0.21
165 115 0.19
175 115 0.19
185 115 0.24
195 115 0.21
205 115 0.23
215 115 0.23
225 115 0.21
235 115 0.22
245 115 0.25
255 115 0.27
265 115 0.24
275 115 0.26
285 115 0.27
295 115 0.31
5 125 0.14
15 125 0.15
25 125 0.17
35 125 0.18
45 125 0.18
55 125 0.15
65 125 0.19
75 125 0.17
85 125 0.18
95 125 0.18
105 125 0.2
115 125 0.22
125 125 0.19
135 125 0.18
145 125 0.22
155 125 0.24
165 125 0.19
175 125 0.22
185 125 0.22
195 125 0.22
205 125 0.22
215 125 0.2
225 125 0.23
235 125 0.25
245 125 0.26
255 125 0.27
265 125 0.25
275 125 0.27
285 125 0.27
295 125 0.29
5 135 0.15
15 135 0.18
25 135 0.15
35 135 0.15
45 135 0.16
55 135 0.18
65 135 0.17
75 135 0.19
85 135 0.19
95 135 0.2
105 135 0.18
115 135 0.22
125 135 0.18
135 135 0.21
145 135 0.23
155 135 0.23
165 135 0.22
175 135 0.2
185 135 0.25
195 135 0.23
205 135 0.26
215 135 0.22
225 135 0.25
235 135 0.26
245 135 0.27
255 135 0.28
265 135 0.28
275 135 0.27
285 135 0.33
295 135 0.29
5 145 0.17
15 145 0.19
25 145 0.17
35 145 0.19
45 145 0.17
55 145 0.19
65 145 0.2
75 145 0.19
85 145 0.22
95 145 0.2
105 145 0.19
115 145 0.22
125 145 0.22
135 145 0.25
145 145 0.23
155 145 0.24
165 145 0.27
175 145 0.25
185 145 0.24
195 145 0.26
205 145 0.27
215 145 0.29
225 145 0.25
235 145 0.28
245 145 0.31
255 145 0.29
265 145 0.29
275 145 0.34
285 145 0.31
295 145 0.33
5 155 0.18
15 155 0.18
25 155 0.18
35 155 0.19
45 155 0.17
55 155 0.2
65 155 0.23
75 155 0.21
85 155 0.21
95 155 0.2
105 155 0.24
115 155 0.22
125 155 0.24
135 155 0.24
145 155 0.24
155 155 0.26
165 155 0.29
175 155 0.27
185 155 0.26
195 155 0.27
205 155 0.27
215 155 0.31
225 155 0.28
235 155 0.3
245 155 0.32
255 155 0.35
265 155 0.36
275 155 0.33
285 155 0.34
295 155 0.32
5 165 0.17
15 165 0.18
25 165 0.17
35 165 0.19
45 165 0.21
55 165 0.25
65 165 0.23
75 165 0.22
85 165 0.21
95 165 0.24
105 165 0.24
115 165 0.29
125 165 0.26
135 165 0.26
145 165 0.26
155 165 0.3
165 165 0.25
175 165 0.29
185 165 0.26
195 165 0.3
205 165 0.29
215 165 0.29
225 165 0.32
235 165 0.34
245 165 0.36
255 165 0.33
265 165 0.35
275 165 0.36
285 165 0.37
295 165 0.39
5 175 0.2
15 175 0.2
25 175 0.22
35 175 0.24
45 175 0.25
55 175 0.25
65 175 0.26
75 175 0.25
85 175 0.24
95 175 0.26
105 175 0.26
115 175 0.27
125 175 0.31
135 175 0.23
